abbr,id,fips,name,collection_date,sum_adm_all_covid_confirmed,pct_chg_avg_adm_all_covid_confirmed_per_100k,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,avg_percent_inpatient_beds_occupied_covid_confirmed,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid,mmwrweek_end,change,change_text,burden,burden_text,covid_pct_of_total_weekly,covid_deaths_3_month_period,aa_covid_rate_3_month_period,data_as_of,covid_deaths_total,aa_covid_rate_total,data_period_end,mmwrweek_end_testing,level,perc_diff,percent_pos,percent_pos_2_week,percent_pos_4_week,number_tested,number_tested_2_week,number_tested_4_week,pct_change_wk_weekly,pct_diff_wk_weekly,data_update_dte
ND,38,38,North Dakota,2024-03-02,16473,-15.4,33,4.33,1.5,0,0.1,-0.5,2024-03-02,-42.1%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),NA,37,4.1,2024-03-07,2726,292.4,2024-03-02,2024-03-02,Region 8,-1.9,4.9,6.8,7.5,3644,7504,16007,NA,NA,2024-03-11 14:09:00
NE,31,31,Nebraska,2024-03-02,34918,-30.8,81,4.19,1.7,-0.3,2.2,-0.2,2024-03-02,-28.8%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),NA,136,5.9,2024-03-07,6022,258.7,2024-03-02,2024-03-02,Region 7,-1,5.8,7.4,8,8187,20734,40186,NA,NA,2024-03-11 14:09:00
NH,33,33,New Hampshire,2024-03-02,20343,-21.8,43,3.16,1.8,-0.1,2.4,0.4,2024-03-02,-15.9%,Moderate Decrease (-19.9% to -10.0%),0.8%,Minimal (< 1.5%),NA,105,5.7,2024-03-07,3488,189.7,2024-03-02,2024-03-02,Region 1,-0.6,5.4,6.8,7.7,5254,11444,23649,NA,NA,2024-03-11 14:09:00
NJ,34,34,New Jersey,2024-03-02,190303,-35,359,4.04,2.1,-0.6,1.5,-0.6,2024-03-02,-15.5%,Moderate Decrease (-19.9% to -10.0%),1.0%,Minimal (< 1.5%),1.3,662,5.7,2024-03-07,36486,311.9,2024-03-02,2024-03-02,Region 2,-0.1,5.9,6,7.9,4235,10628,23036,-40.9,-0.9,2024-03-11 14:09:00
NM,35,35,New Mexico,2024-03-02,41021,-38.2,42,2,1.3,-0.1,1.4,0.3,2024-03-02,-30.1%,Substantial Decrease (< -19.9%),1.3%,Minimal (< 1.5%),NA,125,4.7,2024-03-07,9650,372.9,2024-03-02,2024-03-02,Region 6,-1.2,7.1,8.8,10.1,6793,27306,67779,NA,NA,2024-03-11 14:09:00
NV,32,32,Nevada,2024-03-02,68194,7.7,98,3.18,1.2,0,1.6,-0.2,2024-03-02,-16.9%,Moderate Decrease (-19.9% to -10.0%),0.6%,Minimal (< 1.5%),NA,137,4.1,2024-03-07,12249,342,2024-03-02,2024-03-02,Region 9,0.5,7.4,7.2,8.3,3208,11541,23585,NA,NA,2024-03-11 14:09:00
NY,36,36,New York,2024-03-02,417882,-16.7,914,4.7,2.4,-0.5,2.4,-0.6,2024-03-02,-29.7%,Substantial Decrease (< -19.9%),0.7%,Minimal (< 1.5%),2.3,1458,5.6,2024-03-07,83906,324.4,2024-03-02,2024-03-02,Region 2,-0.1,5.9,6,7.9,4235,10628,23036,-8,-0.2,2024-03-11 14:09:00
NY-NYC,71,71,New York (excludes NYC),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,935,6,2024-03-07,43671,283.2,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2024-03-11 14:09:00
NYC,57,57,New York City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,523,5,2024-03-07,40235,386,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12,-0.3,2024-03-11 14:09:00
OH,39,39,Ohio,2024-03-02,282795,-20.6,493,4.22,1.4,-0.1,1.3,-0.3,2024-03-02,-19.1%,Moderate Decrease (-19.9% to -10.0%),1.1%,Minimal (< 1.5%),2.7,910,6.1,2024-03-07,51586,346.7,2024-03-02,2024-03-02,Region 5,-0.8,6.3,8,8.7,20764,60380,132768,35,0.7,2024-03-11 14:09:00
OK,40,40,Oklahoma,2024-03-02,116288,6.4,200,5.05,2,-0.1,2.6,0,NA,NA,NA,NA,NA,NA,384,8.4,2024-03-07,20274,442.3,2024-03-02,2024-03-02,Region 6,-1.2,7.1,8.8,10.1,6793,27306,67779,NA,NA,2024-03-11 14:09:00
OR,41,41,Oregon,2024-03-02,51756,-30.1,128,3.03,2.2,-0.4,1.8,-0.4,2024-03-02,-19.3%,Moderate Decrease (-19.9% to -10.0%),1.3%,Minimal (< 1.5%),NA,182,3.5,2024-03-07,9800,186.5,2024-03-02,2024-03-02,Region 10,-1.1,7.1,8.3,8.8,7687,15760,31973,NA,NA,2024-03-11 14:09:00
PA,42,42,Pennsylvania,2024-03-02,267752,-13.7,586,4.58,1.8,-0.3,1.9,0.1,2024-03-02,-16.8%,Moderate Decrease (-19.9% to -10.0%),1.0%,Minimal (< 1.5%),1.9,1100,6.2,2024-03-07,54874,307.4,2024-03-02,2024-03-02,Region 3,-1.8,5.9,6.4,7.6,4676,12510,22729,-5,-0.1,2024-03-11 14:09:00
PR,72,72,Puerto Rico,2024-03-02,31639,-11.4,93,2.91,0.8,-0.3,1.6,0.1,NA,NA,NA,NA,NA,NA,174,2.9,2024-03-07,6734,127.4,2024-03-02,2024-03-02,Region 2,-0.1,5.9,6,7.9,4235,10628,23036,NA,NA,2024-03-11 14:09:00
PW,70,70,Palau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-11 14:09:00
RI,44,44,Rhode Island,2024-03-02,14778,-54.8,19,1.79,1,-0.4,0.1,-0.9,2024-03-02,-42.6%,Substantial Decrease (< -19.9%),0.5%,Minimal (< 1.5%),NA,70,4.8,2024-03-07,4118,278.3,2024-03-02,2024-03-02,Region 1,-0.6,5.4,6.8,7.7,5254,11444,23649,NA,NA,2024-03-11 14:09:00
RMI,68,68,Republic of Marshall Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-11 14:09:00
SC,45,45,South Carolina,2024-03-02,103213,-1.9,360,6.99,3,0.1,2.2,-0.2,2024-03-02,-22.6%,Substantial Decrease (< -19.9%),2.0%,Low (1.5% to 2.9%),3.9,412,6.6,2024-03-07,22080,341.4,2024-03-02,2024-03-02,Region 4,-1.1,9.5,11,11.6,5575,15151,35574,39.3,1.1,2024-03-11 14:09:00
SD,46,46,South Dakota,2024-03-02,21219,-31.3,33,3.73,1.2,-0.6,0.9,-1,2024-03-02,-53.9%,Substantial Decrease (< -19.9%),0.5%,Minimal (< 1.5%),0,54,5,2024-03-07,3406,311.3,2024-03-02,2024-03-02,Region 8,-1.9,4.9,6.8,7.5,3644,7504,16007,NA,0,2024-03-11 14:09:00
TN,47,47,Tennessee,2024-03-02,140436,14.1,446,6.53,1.9,0,1.8,0.3,2024-03-02,-13.0%,Moderate Decrease (-19.9% to -10.0%),2.0%,Low (1.5% to 2.9%),2.6,558,6.9,2024-03-07,29789,359.4,2024-03-02,2024-03-02,Region 4,-1.1,9.5,11,11.6,5575,15151,35574,8.3,0.2,2024-03-11 14:09:00
TX,48,48,Texas,2024-03-02,646469,-19,1239,4.27,2.5,-0.2,2.9,-0.3,2024-03-02,-25.8%,Substantial Decrease (< -19.9%),1.2%,Minimal (< 1.5%),1.6,1159,4.3,2024-03-07,104676,364.4,2024-03-02,2024-03-02,Region 6,-1.2,7.1,8.8,10.1,6793,27306,67779,-20,-0.4,2024-03-11 14:09:00
USA,0,00,United States of America,2024-03-02,6866673,-13.6,15141,4.56,2.1,-0.2,2.1,-0.1,2024-03-02,-21.2%,Substantial Decrease (< -19.9%),1.2%,Minimal (< 1.5%),2.2,20935,5.3,2024-03-07,1183143,296.2,2024-03-02,2024-03-02,National,-1,6.5,7.9,8.9,70023,192958,417286,0,0,2024-03-11 14:09:00
UT,49,49,Utah,2024-03-02,50946,-2.3,85,2.65,1,-0.2,1,0,2024-03-02,-29.3%,Substantial Decrease (< -19.9%),0.9%,Minimal (< 1.5%),NA,88,3.2,2024-03-07,5728,205.1,2024-03-02,2024-03-02,Region 8,-1.9,4.9,6.8,7.5,3644,7504,16007,NA,NA,2024-03-11 14:09:00
VA,51,51,Virginia,2024-03-02,135999,-17.6,483,5.66,2.3,-0.3,2.2,-0.4,2024-03-02,-16.9%,Moderate Decrease (-19.9% to -10.0%),1.6%,Low (1.5% to 2.9%),3,650,6.6,2024-03-07,24794,247.2,2024-03-02,2024-03-02,Region 3,-1.8,5.9,6.4,7.6,4676,12510,22729,20,0.5,2024-03-11 14:09:00
VI,78,78,Virgin Islands,2024-03-02,628,NA,0,0,0,-0.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-02,2024-03-02,Region 2,-0.1,5.9,6,7.9,4235,10628,23036,NA,NA,2024-03-11 14:09:00
VT,50,50,Vermont,2024-03-02,7274,-34.6,17,2.72,1.6,0.1,2.1,1,2024-03-02,-33.8%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),NA,59,6.5,2024-03-07,1147,131.4,2024-03-02,2024-03-02,Region 1,-0.6,5.4,6.8,7.7,5254,11444,23649,NA,NA,2024-03-11 14:09:00
WA,53,53,Washington,2024-03-02,84656,5.5,268,3.52,2.3,-0.1,1.6,-0.1,2024-03-02,-17.1%,Moderate Decrease (-19.9% to -10.0%),1.5%,Low (1.5% to 2.9%),NA,352,4.3,2024-03-07,15843,182.8,2024-03-02,2024-03-02,Region 10,-1.1,7.1,8.3,8.8,7687,15760,31973,NA,NA,2024-03-11 14:09:00
WI,55,55,Wisconsin,2024-03-02,136889,-26.3,219,3.76,1.9,-0.3,1.9,-0.1,2024-03-02,-16.4%,Moderate Decrease (-19.9% to -10.0%),1.2%,Minimal (< 1.5%),1.9,403,5.5,2024-03-07,17895,241.8,2024-03-02,2024-03-02,Region 5,-0.8,6.3,8,8.7,20764,60380,132768,-9.5,-0.2,2024-03-11 14:09:00
WV,54,54,West Virginia,2024-03-02,47247,0.9,109,6.08,2.1,-0.3,2.3,-0.1,2024-03-02,-10.5%,Moderate Decrease (-19.9% to -10.0%),1.4%,Minimal (< 1.5%),NA,180,7.2,2024-03-07,9032,363.1,2024-03-02,2024-03-02,Region 3,-1.8,5.9,6.4,7.6,4676,12510,22729,NA,NA,2024-03-11 14:09:00
WY,56,56,Wyoming,2024-03-02,12148,-71.4,4,0.69,0.5,-0.1,0.4,0.2,2024-03-02,-23.0%,Substantial Decrease (< -19.9%),0.9%,Minimal (< 1.5%),0,50,7.3,2024-03-07,2245,319.2,2024-03-02,2024-03-02,Region 8,-1.9,4.9,6.8,7.5,3644,7504,16007,NA,NA,2024-03-11 14:09:00
AK,2,02,Alaska,2024-02-24,10451,-30.8,27,3.69,1.9,-0.8,1.1,-1.2,2024-02-24,-36.4%,Substantial Decrease (< -19.9%),1.7%,Low (1.5% to 2.9%),NA,17,NA,2024-02-29,1567,235.4,2024-02-24,2024-02-24,Region 10,-0.4,8,8.6,9.2,7730,15992,32466,NA,NA,2024-03-04 14:06:00
AL,1,01,Alabama,2024-02-24,127095,-1.4,426,8.69,2.8,0.2,3,-0.3,2024-02-24,-12.2%,Moderate Decrease (-19.9% to -10.0%),2.3%,Low (1.5% to 2.9%),NA,350,5.6,2024-02-29,23012,369.6,2024-02-24,2024-02-24,Region 4,-1.2,10.1,11.7,11.7,5707,18220,38884,NA,NA,2024-03-04 14:06:00
AR,5,05,Arkansas,2024-02-24,72332,0.5,183,6.06,1.4,-0.5,1.3,-0.4,2024-02-24,-7.3%,Stable (-9.9% to 9.9%),1.8%,Low (1.5% to 2.9%),NA,239,6.4,2024-02-29,12972,349.3,2024-02-24,2024-02-24,Region 6,-0.7,8.4,10,10.5,9485,36980,76790,NA,NA,2024-03-04 14:06:00
AS,60,60,American Samoa,2024-02-24,225,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-04 14:06:00
AZ,4,04,Arizona,2024-02-24,164000,-9.4,279,3.83,1.5,-0.1,1.4,-0.3,2024-02-24,-8.4%,Stable (-9.9% to 9.9%),1.2%,Minimal (< 1.5%),NA,392,4.2,2024-02-29,30475,333.1,2024-02-24,2024-02-24,Region 9,-1,6.3,8.1,9.2,4813,12050,24710,NA,NA,2024-03-04 14:06:00
CA,6,06,California,2024-02-24,666750,-16.9,1572,3.98,2.2,-0.3,1.5,-0.3,2024-02-24,-16.3%,Moderate Decrease (-19.9% to -10.0%),0.9%,Minimal (< 1.5%),1.4,1728,4,2024-02-29,112290,253.5,2024-02-24,2024-02-24,Region 9,-1,6.3,8.1,9.2,4813,12050,24710,-12.5,-0.2,2024-03-04 14:06:00
CO,8,08,Colorado,2024-02-24,105927,-18.8,181,3.14,1.1,-0.2,1.2,-0.2,2024-02-24,-3.7%,Stable (-9.9% to 9.9%),1.0%,Minimal (< 1.5%),NA,257,4.4,2024-02-29,15577,257.4,2024-02-24,2024-02-24,Region 8,-0.1,6.8,7,7.9,3645,8047,16619,NA,NA,2024-03-04 14:06:00
CT,9,09,Connecticut,2024-02-24,71705,-13.3,202,5.67,2.1,-0.4,1.9,-0.2,2024-02-24,-20.4%,Substantial Decrease (< -19.9%),1.4%,Minimal (< 1.5%),NA,256,5.2,2024-02-29,12792,262.1,2024-02-24,2024-02-24,Region 1,-1.7,5.9,7.8,9,5493,11933,23772,NA,NA,2024-03-04 14:06:00
DC,11,11,District of Columbia,2024-02-24,17856,-15.9,58,8.22,2.9,0.1,2.3,0.1,2024-02-24,-21.5%,Substantial Decrease (< -19.9%),1.3%,Minimal (< 1.5%),0,26,4.1,2024-02-29,1933,290.7,2024-02-24,2024-02-24,Region 3,2.1,7.7,6.8,8.3,4122,12589,23328,NA,0,2024-03-04 14:06:00
DE,10,10,Delaware,2024-02-24,21726,17.5,74,7.6,2.9,-0.3,2.2,-0.6,2024-02-24,-21.7%,Substantial Decrease (< -19.9%),1.7%,Low (1.5% to 2.9%),NA,108,8.5,2024-02-29,3632,272.3,2024-02-24,2024-02-24,Region 3,2.1,7.7,6.8,8.3,4122,12589,23328,NA,NA,2024-03-04 14:06:00
FL,12,12,Florida,2024-02-24,604329,-17.6,1470,6.84,2.4,-0.2,3,0.1,2024-02-24,-19.8%,Moderate Decrease (-19.9% to -10.0%),1.6%,Low (1.5% to 2.9%),2.6,1150,3.4,2024-02-29,82533,256.6,2024-02-24,2024-02-24,Region 4,-1.2,10.1,11.7,11.7,5707,18220,38884,-10.3,-0.3,2024-03-04 14:06:00
FSM,64,64,Federated States of Micronesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-04 14:06:00
GA,13,13,Georgia,2024-02-24,253809,-14.3,746,7.03,3.6,-0.1,4.4,-0.5,2024-02-24,-13.1%,Moderate Decrease (-19.9% to -10.0%),1.7%,Low (1.5% to 2.9%),2.9,503,4.7,2024-02-29,37186,325.9,2024-02-24,2024-02-24,Region 4,-1.2,10.1,11.7,11.7,5707,18220,38884,26.1,0.6,2024-03-04 14:06:00
GU,66,66,Guam,2024-02-24,6263,100,2,1.19,1,-0.5,2.6,-1,2024-02-24,86.7%,Substantial Increase (> 19.9%),0.9%,Minimal (< 1.5%),NA,NA,NA,NA,NA,NA,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-04 14:06:00
HI,15,15,Hawaii,2024-02-24,21882,-1,101,7.13,2.1,0.1,1.3,0.7,2024-02-24,18.2%,Moderate Increase (10.0% to 19.9%),1.9%,Low (1.5% to 2.9%),0,35,1.6,2024-02-29,2071,103.3,2024-02-24,2024-02-24,Region 9,-1,6.3,8.1,9.2,4813,12050,24710,NA,NA,2024-03-04 14:06:00
IA,19,19,Iowa,2024-02-24,59403,18.4,116,3.68,1.1,-0.1,1,0.3,2024-02-24,-7.2%,Stable (-9.9% to 9.9%),1.3%,Minimal (< 1.5%),NA,306,7.3,2024-02-29,11624,281.5,2024-02-24,2024-02-24,Region 7,-1.3,6.8,8.3,8.6,9889,20066,37988,NA,NA,2024-03-04 14:06:00
ID,16,16,Idaho,2024-02-24,30520,77.4,94,5.26,1.5,-0.1,1.4,0,2024-02-24,9.7%,Stable (-9.9% to 9.9%),1.2%,Minimal (< 1.5%),0,103,5,2024-02-29,5713,271,2024-02-24,2024-02-24,Region 10,-0.4,8,8.6,9.2,7730,15992,32466,NA,NA,2024-03-04 14:06:00
IL,17,17,Illinois,2024-02-24,251361,-12,657,5.18,2.1,0,2,0.3,2024-02-24,-8.8%,Stable (-9.9% to 9.9%),1.6%,Low (1.5% to 2.9%),2.1,778,5.1,2024-02-29,41782,271.9,2024-02-24,2024-02-24,Region 5,-1.5,7.3,9,9.4,23301,69053,135389,31.2,0.5,2024-03-04 14:06:00
IN,18,18,Indiana,2024-02-24,150294,10.7,330,4.9,1.5,0,1.2,0,2024-02-24,-1.3%,Stable (-9.9% to 9.9%),1.5%,Low (1.5% to 2.9%),NA,573,7.3,2024-02-29,27000,340.2,2024-02-24,2024-02-24,Region 5,-1.5,7.3,9,9.4,23301,69053,135389,NA,NA,2024-03-04 14:06:00
KS,20,20,Kansas,2024-02-24,61585,3.3,125,4.29,1.3,0.1,1.8,0.1,2024-02-24,-3.9%,Stable (-9.9% to 9.9%),1.5%,Low (1.5% to 2.9%),NA,205,5.7,2024-02-29,10973,310.6,2024-02-24,2024-02-24,Region 7,-1.3,6.8,8.3,8.6,9889,20066,37988,NA,NA,2024-03-04 14:06:00
KY,21,21,Kentucky,2024-02-24,164336,1,290,6.49,2.1,0.2,1.9,0,2024-02-24,-7.2%,Stable (-9.9% to 9.9%),2.1%,Low (1.5% to 2.9%),NA,538,10.2,2024-02-29,20994,391.1,2024-02-24,2024-02-24,Region 4,-1.2,10.1,11.7,11.7,5707,18220,38884,NA,NA,2024-03-04 14:06:00
LA,22,22,Louisiana,2024-02-24,101892,-7,307,6.6,2.2,-0.1,1.8,-0.4,2024-02-24,-16.0%,Moderate Decrease (-19.9% to -10.0%),2.4%,Low (1.5% to 2.9%),NA,221,4.3,2024-02-29,18124,339,2024-02-24,2024-02-24,Region 6,-0.7,8.4,10,10.5,9485,36980,76790,NA,NA,2024-03-04 14:06:00
MA,25,25,Massachusetts,2024-02-24,117836,-6.4,364,5.28,2.1,-0.3,1.9,-0.2,2024-02-24,-25.0%,Substantial Decrease (< -19.9%),1.1%,Minimal (< 1.5%),NA,511,5.8,2024-02-29,21917,246.3,2024-02-24,2024-02-24,Region 1,-1.7,5.9,7.8,9,5493,11933,23772,NA,NA,2024-03-04 14:06:00
MD,24,24,Maryland,2024-02-24,104344,-18.3,227,3.75,2.8,-0.1,2.8,0,2024-02-24,-24.9%,Substantial Decrease (< -19.9%),1.4%,Minimal (< 1.5%),2.6,478,6.7,2024-02-29,18996,260.2,2024-02-24,2024-02-24,Region 3,2.1,7.7,6.8,8.3,4122,12589,23328,13,0.3,2024-03-04 14:06:00
ME,23,23,Maine,2024-02-24,16890,25.5,64,4.76,2.9,-0.1,4,0,2024-02-24,-25.1%,Substantial Decrease (< -19.9%),1.1%,Minimal (< 1.5%),4.8,161,8.1,2024-02-29,3559,178,2024-02-24,2024-02-24,Region 1,-1.7,5.9,7.8,9,5493,11933,23772,NA,NA,2024-03-04 14:06:00
MI,26,26,Michigan,2024-02-24,209933,-2.6,531,5.32,2.5,-0.1,2.3,-0.1,2024-02-24,-10.2%,Moderate Decrease (-19.9% to -10.0%),1.7%,Low (1.5% to 2.9%),NA,845,6.7,2024-02-29,39168,307.9,2024-02-24,2024-02-24,Region 5,-1.5,7.3,9,9.4,23301,69053,135389,NA,NA,2024-03-04 14:06:00
MN,27,27,Minnesota,2024-02-24,86997,-22,191,3.39,2,-0.3,1.1,-0.6,NA,NA,NA,NA,NA,2.8,465,6.7,2024-02-29,16390,237,2024-02-24,2024-02-24,Region 5,-1.5,7.3,9,9.4,23301,69053,135389,33.3,0.7,2024-03-04 14:06:00
MO,29,29,Missouri,2024-02-24,142557,-7.1,367,5.98,2.8,-0.1,2.3,-0.3,NA,NA,NA,NA,NA,NA,453,5.8,2024-02-29,23354,301.2,2024-02-24,2024-02-24,Region 7,-1.3,6.8,8.3,8.6,9889,20066,37988,NA,NA,2024-03-04 14:06:00
MP,69,69,Northern Mariana Islands,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-04 14:06:00
MS,28,28,Mississippi,2024-02-24,58865,-2.9,132,4.44,1.8,-0.3,2.8,0.5,2024-02-24,-5.6%,Stable (-9.9% to 9.9%),2.5%,Low (1.5% to 2.9%),NA,277,8.2,2024-02-29,15359,443.7,2024-02-24,2024-02-24,Region 4,-1.2,10.1,11.7,11.7,5707,18220,38884,NA,NA,2024-03-04 14:06:00
MT,30,30,Montana,2024-02-24,32100,5,42,3.93,0.9,-0.1,0.7,-0.5,2024-02-24,-12.3%,Moderate Decrease (-19.9% to -10.0%),1.1%,Minimal (< 1.5%),0,66,4.6,2024-02-29,4020,279.1,2024-02-24,2024-02-24,Region 8,-0.1,6.8,7,7.9,3645,8047,16619,NA,0,2024-03-04 14:06:00
NC,37,37,North Carolina,2024-02-24,182412,-0.8,705,6.72,3.7,-0.1,3.5,-0.5,2024-02-24,-13.2%,Moderate Decrease (-19.9% to -10.0%),2.4%,Low (1.5% to 2.9%),3.6,792,6.4,2024-02-29,35441,283.3,2024-02-24,2024-02-24,Region 4,-1.2,10.1,11.7,11.7,5707,18220,38884,38.5,1,2024-03-04 14:06:00
ND,38,38,North Dakota,2024-02-24,16440,-2.5,39,5.12,1.4,0.1,0.6,0.2,2024-02-24,26.8%,Substantial Increase (> 19.9%),1.3%,Minimal (< 1.5%),0,38,4.2,2024-02-29,2722,291.9,2024-02-24,2024-02-24,Region 8,-0.1,6.8,7,7.9,3645,8047,16619,NA,0,2024-03-04 14:06:00
NE,31,31,Nebraska,2024-02-24,34835,32.2,115,5.94,2,0.3,2.4,0.5,2024-02-24,5.5%,Stable (-9.9% to 9.9%),1.1%,Minimal (< 1.5%),NA,148,6.3,2024-02-29,6015,258.4,2024-02-24,2024-02-24,Region 7,-1.3,6.8,8.3,8.6,9889,20066,37988,NA,NA,2024-03-04 14:06:00
NH,33,33,New Hampshire,2024-02-24,20300,-19.1,55,4.04,1.9,-0.3,1.9,-1,2024-02-24,-32.4%,Substantial Decrease (< -19.9%),0.9%,Minimal (< 1.5%),NA,109,5.9,2024-02-29,3484,189.5,2024-02-24,2024-02-24,Region 1,-1.7,5.9,7.8,9,5493,11933,23772,NA,NA,2024-03-04 14:06:00
NJ,34,34,New Jersey,2024-02-24,189927,-16.3,541,6.09,2.8,-0.4,2.1,0,2024-02-24,-20.9%,Substantial Decrease (< -19.9%),1.2%,Minimal (< 1.5%),2.1,666,5.7,2024-02-29,36455,311.7,2024-02-24,2024-02-24,Region 2,-0.1,6,7.6,9.3,5604,11203,22972,-22.2,-0.6,2024-03-04 14:06:00
NM,35,35,New Mexico,2024-02-24,40979,-4.2,68,3.24,1.3,-0.3,1.1,-0.1,2024-02-24,-8.5%,Stable (-9.9% to 9.9%),1.8%,Low (1.5% to 2.9%),NA,130,4.8,2024-02-29,9638,372.4,2024-02-24,2024-02-24,Region 6,-0.7,8.4,10,10.5,9485,36980,76790,NA,NA,2024-03-04 14:06:00
NV,32,32,Nevada,2024-02-24,68094,-22.9,91,2.95,1.2,-0.3,1.8,-0.4,2024-02-24,1.7%,Stable (-9.9% to 9.9%),0.7%,Minimal (< 1.5%),NA,140,4.2,2024-02-29,12239,341.7,2024-02-24,2024-02-24,Region 9,-1,6.3,8.1,9.2,4813,12050,24710,NA,NA,2024-03-04 14:06:00
NY,36,36,New York,2024-02-24,417466,-16.4,1105,5.68,3,-0.5,3,-0.1,2024-02-24,-20.6%,Substantial Decrease (< -19.9%),1.0%,Minimal (< 1.5%),2.5,1483,5.7,2024-02-29,83834,324.1,2024-02-24,2024-02-24,Region 2,-0.1,6,7.6,9.3,5604,11203,22972,-16.7,-0.5,2024-03-04 14:06:00
NY-NYC,71,71,New York (excludes NYC),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,962,6.2,2024-02-29,43627,282.9,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.7,-0.5,2024-03-04 14:06:00
NYC,57,57,New York City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,521,4.9,2024-02-29,40207,385.7,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25,-0.8,2024-03-04 14:06:00
OH,39,39,Ohio,2024-02-24,282199,1.2,578,4.94,1.5,-0.1,1.6,0,2024-02-24,-13.8%,Moderate Decrease (-19.9% to -10.0%),1.3%,Minimal (< 1.5%),2.3,953,6.4,2024-02-29,51530,346.3,2024-02-24,2024-02-24,Region 5,-1.5,7.3,9,9.4,23301,69053,135389,43.7,0.7,2024-03-04 14:06:00
OK,40,40,Oklahoma,2024-02-24,116081,-28.2,181,4.57,2,-0.3,2.6,-0.1,NA,NA,NA,NA,NA,NA,380,8.3,2024-02-29,20239,441.5,2024-02-24,2024-02-24,Region 6,-0.7,8.4,10,10.5,9485,36980,76790,NA,NA,2024-03-04 14:06:00
OR,41,41,Oregon,2024-02-24,51627,6.4,182,4.32,2.6,0.3,2.1,0.6,2024-02-24,-5.5%,Stable (-9.9% to 9.9%),1.5%,Low (1.5% to 2.9%),NA,184,3.5,2024-02-29,9782,186.1,2024-02-24,2024-02-24,Region 10,-0.4,8,8.6,9.2,7730,15992,32466,NA,NA,2024-03-04 14:06:00
PA,42,42,Pennsylvania,2024-02-24,267165,-12.2,681,5.32,2.1,-0.1,1.8,-0.4,2024-02-24,-17.1%,Moderate Decrease (-19.9% to -10.0%),1.1%,Minimal (< 1.5%),1.5,1118,6.3,2024-02-29,54800,306.9,2024-02-24,2024-02-24,Region 3,2.1,7.7,6.8,8.3,4122,12589,23328,-28.6,-0.6,2024-03-04 14:06:00
PR,72,72,Puerto Rico,2024-02-24,31556,-24.3,115,3.6,1.1,-0.1,1.5,0.2,NA,NA,NA,NA,NA,NA,167,2.8,2024-02-29,6720,127.2,2024-02-24,2024-02-24,Region 2,-0.1,6,7.6,9.3,5604,11203,22972,NA,NA,2024-03-04 14:06:00
PW,70,70,Palau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-04 14:06:00
RI,44,44,Rhode Island,2024-02-24,14759,-8.7,42,3.96,1.4,-0.1,1.1,0.3,2024-02-24,-21.7%,Substantial Decrease (< -19.9%),0.7%,Minimal (< 1.5%),0,73,5.1,2024-02-29,4116,278.2,2024-02-24,2024-02-24,Region 1,-1.7,5.9,7.8,9,5493,11933,23772,NA,NA,2024-03-04 14:06:00
